"","DatasetID","ObservationID","LastName","FirstName","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","X","%nitrogen","%carbon","lat","long"
"154",163,1334173,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","sporobolus compositus",64897,"Sporobolus compositus",9511450,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","[C]","417.48","mg g-1","Single",NA,"","",417.48,"mg/g",NA,NA,2.74364,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,12.74,417.48,39.09,-96.56
"155",163,1334246,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Ambrosia trifida",3170,"Ambrosia trifida",9512027,NA,"",59,"Latitude","Latitude","39.09","","",NA,"","",39.09,"",NA,NA,NA,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,34.05,400.52,39.09,-96.56
"156",163,1334246,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Ambrosia trifida",3170,"Ambrosia trifida",9512028,NA,"",60,"Longitude","Longitude","-96.56","","",NA,"","",-96.56,"",NA,NA,NA,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,34.05,400.52,39.09,-96.56
"157",163,1334246,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Ambrosia trifida",3170,"Ambrosia trifida",9512032,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","[N]","34.05","mg g-1","Single",NA,"","",34.05,"mg/g",NA,NA,1.47694,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,34.05,400.52,39.09,-96.56
"158",163,1334246,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Ambrosia trifida",3170,"Ambrosia trifida",9512034,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","[C]","400.52","mg g-1","Single",NA,"","",400.52,"mg/g",NA,NA,1.11442,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,34.05,400.52,39.09,-96.56
"159",163,1334270,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Sorghastrum nutans",51135,"Sorghastrum nutans",9512219,NA,"",59,"Latitude","Latitude","39.09","","",NA,"","",39.09,"",NA,NA,NA,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,11.23,393.99,39.09,-96.56
"160",163,1334270,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Sorghastrum nutans",51135,"Sorghastrum nutans",9512220,NA,"",60,"Longitude","Longitude","-96.56","","",NA,"","",-96.56,"",NA,NA,NA,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,11.23,393.99,39.09,-96.56
"161",163,1334270,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Sorghastrum nutans",51135,"Sorghastrum nutans",9512224,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","[N]","11.23","mg g-1","Single",NA,"","",11.23,"mg/g",NA,NA,1.69393,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,11.23,393.99,39.09,-96.56
"162",163,1334270,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Sorghastrum nutans",51135,"Sorghastrum nutans",9512226,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","[C]","393.99","mg g-1","Single",NA,"","",393.99,"mg/g",NA,NA,2.62728,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,11.23,393.99,39.09,-96.56
"163",163,1334303,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Torilis arvensis",54487,"Torilis arvensis",9512483,NA,"",59,"Latitude","Latitude","39.09","","",NA,"","",39.09,"",NA,NA,NA,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,20.12,376.59,39.09,-96.56
"164",163,1334303,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Torilis arvensis",54487,"Torilis arvensis",9512484,NA,"",60,"Longitude","Longitude","-96.56","","",NA,"","",-96.56,"",NA,NA,NA,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,20.12,376.59,39.09,-96.56
"165",163,1334303,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Torilis arvensis",54487,"Torilis arvensis",9512488,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","[N]","20.12","mg g-1","Single",NA,"","",20.12,"mg/g",NA,NA,0.998338,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,20.12,376.59,39.09,-96.56
"166",163,1334303,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Torilis arvensis",54487,"Torilis arvensis",9512490,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","[C]","376.59","mg g-1","Single",NA,"","",376.59,"mg/g",NA,NA,1.62576,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,20.12,376.59,39.09,-96.56
"167",163,1334326,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Parietaria pensylvanica",40308,"Parietaria pensylvanica",9512667,NA,"",59,"Latitude","Latitude","39.09","","",NA,"","",39.09,"",NA,NA,NA,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,13.36,362.1,39.09,-96.56
"168",163,1334326,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Parietaria pensylvanica",40308,"Parietaria pensylvanica",9512668,NA,"",60,"Longitude","Longitude","-96.56","","",NA,"","",-96.56,"",NA,NA,NA,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,13.36,362.1,39.09,-96.56
"169",163,1334326,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Parietaria pensylvanica",40308,"Parietaria pensylvanica",9512672,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","[N]","13.36","mg g-1","Single",NA,"","",13.36,"mg/g",NA,NA,3.3586,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,13.36,362.1,39.09,-96.56
"170",163,1334326,"Craine","Joseph","Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)","Parietaria pensylvanica",40308,"Parietaria pensylvanica",9512674,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","[C]","362.1","mg g-1","Single",NA,"","",362.1,"mg/g",NA,NA,2.61751,"Craine JM, Towne EG, Ocheltree TW, Nippert JB (2012) Community traitscape of foliar nitrogen isotopes reveals N availability patterns in a tallgrass prairie. Plant Soil 356: 395-403","","",NA,13.36,362.1,39.09,-96.56
"171",193,1398086,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237327,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","LeafC","41.122","%","Single",NA,"","",411.22,"mg/g",NA,NA,1.57395,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,14.83,411.22,35.148,-111.611
"172",193,1398086,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237328,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","LeafN","1.483","%","Single",NA,"","",14.83,"mg/g",NA,NA,1.81706,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,14.83,411.22,35.148,-111.611
"173",193,1398086,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237331,NA,"",59,"Latitude","Lat","35.148","","",NA,"","",35.148,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","latitude (decimal deg)","",NA,14.83,411.22,35.148,-111.611
"174",193,1398086,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237332,NA,"",60,"Longitude","Long","-111.611","","",NA,"","",-111.611,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","longitude (decimal deg)","",NA,14.83,411.22,35.148,-111.611
"175",193,1398087,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237334,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","LeafC","42.135","%","Single",NA,"","",421.35,"mg/g",NA,NA,1.05987,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,17.75,421.35,35.148,-111.611
"176",193,1398087,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237335,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","LeafN","1.775","%","Single",NA,"","",17.75,"mg/g",NA,NA,0.744358,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,17.75,421.35,35.148,-111.611
"177",193,1398087,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237338,NA,"",59,"Latitude","Lat","35.148","","",NA,"","",35.148,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","latitude (decimal deg)","",NA,17.75,421.35,35.148,-111.611
"178",193,1398087,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237339,NA,"",60,"Longitude","Long","-111.611","","",NA,"","",-111.611,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","longitude (decimal deg)","",NA,17.75,421.35,35.148,-111.611
"179",193,1398088,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237341,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","LeafC","42.385","%","Single",NA,"","",423.85,"mg/g",NA,NA,0.934899,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,13.8,423.85,35.2,-111.62
"180",193,1398088,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237342,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","LeafN","1.380","%","Single",NA,"","",13.8,"mg/g",NA,NA,2.24668,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,13.8,423.85,35.2,-111.62
"181",193,1398088,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237346,NA,"",59,"Latitude","Lat","35.2","","",NA,"","",35.2,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","latitude (decimal deg)","",NA,13.8,423.85,35.2,-111.62
"182",193,1398088,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237347,NA,"",60,"Longitude","Long","-111.62","","",NA,"","",-111.62,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","longitude (decimal deg)","",NA,13.8,423.85,35.2,-111.62
"183",193,1398089,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237350,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","LeafC","42.802","%","Single",NA,"","",428.02,"mg/g",NA,NA,0.728081,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,15.45,428.02,35.138,-111.644
"184",193,1398089,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237351,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","LeafN","1.545","%","Single",NA,"","",15.45,"mg/g",NA,NA,1.57262,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,15.45,428.02,35.138,-111.644
"185",193,1398089,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237354,NA,"",59,"Latitude","Lat","35.138","","",NA,"","",35.138,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","latitude (decimal deg)","",NA,15.45,428.02,35.138,-111.644
"186",193,1398089,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237355,NA,"",60,"Longitude","Long","-111.644","","",NA,"","",-111.644,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","longitude (decimal deg)","",NA,15.45,428.02,35.138,-111.644
"187",193,1398090,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237357,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","LeafC","41.366","%","Single",NA,"","",413.66,"mg/g",NA,NA,1.44898,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,15.26,413.66,35.138,-111.644
"188",193,1398090,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237358,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","LeafN","1.526","%","Single",NA,"","",15.26,"mg/g",NA,NA,1.64647,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,15.26,413.66,35.138,-111.644
"189",193,1398090,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237361,NA,"",59,"Latitude","Lat","35.138","","",NA,"","",35.138,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","latitude (decimal deg)","",NA,15.26,413.66,35.138,-111.644
"190",193,1398090,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Bouteloua gracilis",7911,"Bouteloua gracilis",10237362,NA,"",60,"Longitude","Long","-111.644","","",NA,"","",-111.644,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","longitude (decimal deg)","",NA,15.26,413.66,35.138,-111.644
"191",193,1401445,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269596,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","LeafC","45.499","%","Single",NA,"","",454.99,"mg/g",NA,NA,0.701586,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,7.35,454.99,35.2,-111.62
"192",193,1401445,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269597,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","LeafN","0.735","%","Single",NA,"","",7.35,"mg/g",NA,NA,3.0169,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,7.35,454.99,35.2,-111.62
"193",193,1401445,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269599,NA,"",59,"Latitude","Lat","35.2","","",NA,"","",35.2,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","latitude (decimal deg)","",NA,7.35,454.99,35.2,-111.62
"194",193,1401445,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269600,NA,"",60,"Longitude","Long","-111.62","","",NA,"","",-111.62,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","longitude (decimal deg)","",NA,7.35,454.99,35.2,-111.62
"195",193,1401446,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269603,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","LeafC","44.511","%","Single",NA,"","",445.11,"mg/g",NA,NA,1.16536,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,7.72,445.11,35.2,-111.62
"196",193,1401446,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269604,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","LeafN","0.772","%","Single",NA,"","",7.72,"mg/g",NA,NA,2.86362,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,7.72,445.11,35.2,-111.62
"197",193,1401446,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269607,NA,"",59,"Latitude","Lat","35.2","","",NA,"","",35.2,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","latitude (decimal deg)","",NA,7.72,445.11,35.2,-111.62
"198",193,1401446,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269608,NA,"",60,"Longitude","Long","-111.62","","",NA,"","",-111.62,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","longitude (decimal deg)","",NA,7.72,445.11,35.2,-111.62
"199",193,1401447,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269611,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","LeafC","44.812","%","Single",NA,"","",448.12,"mg/g",NA,NA,1.02299,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,15.96,448.12,35.2,-111.62
"200",193,1401447,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269612,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","LeafN","1.596","%","Single",NA,"","",15.96,"mg/g",NA,NA,1.72767,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,15.96,448.12,35.2,-111.62
"201",193,1401447,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269617,NA,"",59,"Latitude","Lat","35.2","","",NA,"","",35.2,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","latitude (decimal deg)","",NA,15.96,448.12,35.2,-111.62
"202",193,1401447,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269618,NA,"",60,"Longitude","Long","-111.62","","",NA,"","",-111.62,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","longitude (decimal deg)","",NA,15.96,448.12,35.2,-111.62
"203",193,1401448,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269621,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","LeafC","44.938","%","Single",NA,"","",449.38,"mg/g",NA,NA,0.963673,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,7.74,449.38,35.2,-111.62
"204",193,1401448,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269622,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","LeafN","0.774","%","Single",NA,"","",7.74,"mg/g",NA,NA,2.85554,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","%","",NA,7.74,449.38,35.2,-111.62
"205",193,1401448,"Laughlin","Daniel","Plant Traits for Pinus and Juniperus Forests in Arizona","Schizachyrium scoparium",48859,"Schizachyrium scoparium",10269625,NA,"",59,"Latitude","Lat","35.2","","",NA,"","",35.2,"",NA,NA,NA,"Laughlin, D. C., J. J. Leppert, M. M. Moore, and C. H. Sieg. 2010. A multi-trait test of the leaf-height-seed plant strategy scheme with 133 species from a pine forest flora. Functional Ecology 24:493-501.","latitude (decimal deg)","",NA,7.74,449.38,35.2,-111.62
