,obs,time..2,elapsed,date,hhmmss..5,averaging,machine,id,id_updated_mk,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,?Vc,Edyn,Hr,Hs,dHs/dt,?Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,,
172,172,1687532923,4219,2023-06-23 11:08:42,11:08:42,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001848129,1.848129355,28.53358283,1183.198501,539.333762,55.03162873,120.729213,0.075573913,3.773358504,0.074742995,0.046788265,615.8266346,32.41938251,31.10522593,4.538516172,49.4065652,2.097563139,4.245515004,2.440953033,-81.50250457,-237.2693916,-14.05391126,283.0008272,65.97368886,1.760174841,28.53358283,1268.522284,1231.897939,3.399792489,65.23340909,1.848129355,19.49179123,20.6026903,0.006220969,101.6448244,0,0,1,0,53394,3500.427037,2871.400302,0.820300001,0.175929002,3.21,0.5,0: Broadleaf,2,TRUE,1687532915,1183.198519,1226.890741,20.55702593,19.45022222,1178.912222,20.38413333,499.9992963,101.9312222,0.105091111,29.93887778,31.10522593,999.9,0,0,10008.28333,0,1500.433333,-43.69231852,1208.032222,1251.227778,1.106794444,1226.890741,19.45022222,2.095403333,1.982586296,18.18427407,17.30590741,1999.993704,0.980000333,0.01999957,0,1.930011111,0,6681.146296,17338.17037,48.46733333,50.23133333,48.55511111,48.493,47.25459259,1959.993704,40,0,1687532922,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-43.66073415,-0.46457561,0.08013567,0,1.130960732,-0.381234564,0.043132174,0,0,2,0/2,3.11808,2.76207,0.192044,0.198051,0.104883,0.101481,23278.1,23019.1,29405.5,29030.5,36459.9,34389.8,45102.7,43178.4,1.69317,1.66112,-0.0540912,0,32.0404,999.9,54.5,44,48.9357,65.4957,18.9223,1,1.32783,9.28105,19.9855,5.22747,11.992,4.96855,3.28943,9999,9999,9999,999.9,4.97263,1.8782,1.87635,1.87912,1.87561,1.87901,1.87633,1.87756,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.32,0.1737,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,49.2,49.3,2.63306,2.60132,1.39893,2.27661,1.44897,2.53174,50.2187,13.1952,18,507.654,400.18,23.7325,42.4133,30.0019,41.6759,41.6692,52.7031,57.9922,0,18.7195,1269.12,19.6371,97.3686,99.28,,
173,173,1687532928,4224,2023-06-23 11:08:47,11:08:47,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001714513,1.714512653,29.07490417,1198.911768,493.8782931,50.39326205,122.33191,0.069885755,3.772519439,0.069174418,0.043297319,615.092482,32.46786215,31.13905714,4.547271426,49.41129458,2.100663659,4.251383569,2.446607767,-75.61000801,-239.2079925,-14.17594397,286.0985375,66.14636484,1.685018576,29.07490417,1285.724854,1248.884727,3.373887929,65.23340909,1.714512653,19.62110728,20.64349515,0.006756428,101.6448244,0,0,1,0,53409,3496.253929,2867.97711,0.820300004,0.175929007,3.21,0.5,0: Broadleaf,2,TRUE,1687532920,1198.911786,1242.6725,20.58751786,19.52806071,1194.601071,20.41407143,500.0252857,101.9305714,0.105219071,29.96291786,31.13905714,999.9,0,0,10005.08464,0,1496.278214,-43.76068571,1224.113214,1267.423571,1.059451179,1242.6725,19.52806071,2.098497143,1.990506429,18.20776786,17.36891429,1999.975714,0.980000393,0.019999511,0,1.86085,0,6679.914643,17338.01786,48.4865,50.24992857,48.5755,48.5155,47.27435714,1959.975714,40,0,1687532927,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-43.71853659,-0.876089895,0.102160624,0,1.084289341,-0.508594014,0.062545233,0,0,2,0/2,3.11812,2.76204,0.193674,0.199681,0.105049,0.102332,23229.5,22971.1,29404,29029.5,36451.9,34356.3,45100.8,43176.4,1.69252,1.661,-0.0536442,0,32.0687,999.9,54.5,44,48.9383,65.3257,18.8782,1,1.32949,9.28105,19.9853,5.22882,11.992,4.9692,3.28965,9999,9999,9999,999.9,4.97264,1.87819,1.87635,1.87911,1.87561,1.87899,1.87628,1.87753,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.35,0.1746,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,49.3,49.3,2.66357,2.59155,1.39893,2.27661,1.44897,2.56348,50.2509,13.1952,18,507.357,400.2,23.7522,42.4351,30.0017,41.6945,41.6874,53.3218,57.9922,0,18.7512,1289.16,19.6217,97.3641,99.2759,,
174,174,1687532933,4229,2023-06-23 11:08:52,11:08:52,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001764232,1.764231675,28.68360355,1216.525538,536.4153881,54.73340435,124.1287734,0.07176088,3.771551409,0.071010889,0.044448536,614.7062009,32.48263077,31.17997407,4.557880058,49.45376137,2.105632992,4.257781276,2.452247066,-77.80261685,-242.1441699,-14.35839146,280.4010227,66.44125925,1.607589635,28.68360355,1303.202678,1266.161455,3.461054185,65.23340909,1.764231675,19.75834765,20.72693576,0.017082408,101.6448244,0,0,1,0,53290,3494.058148,2866.175922,0.820300007,0.175929013,3.21,0.5,0: Broadleaf,2,TRUE,1687532925,1216.525556,1260.430741,20.63628148,19.62563704,1212.187778,20.46194074,500.0642963,101.9302593,0.105225852,29.98909259,31.17997407,999.9,0,0,10001.35185,0,1494.102593,-43.90541852,1242.158519,1285.663704,1.010651,1260.430741,19.62563704,2.10346,2.000444444,18.24538148,17.44762222,1999.955556,0.980000444,0.019999456,0,1.858177778,0,6679.018148,17337.84074,48.50918519,50.27525926,48.597,48.53674074,47.30059259,1959.955556,40,0,1687532932,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-43.8394725,-1.428609006,0.161045414,0,1.03345885,-0.61890466,0.072692749,0,0,2,0/2,3.11781,2.76136,0.195321,0.201306,0.105336,0.102403,23180.7,22923,29402.7,29028.2,36438.9,34352.6,45098.8,43174.9,1.69215,1.66077,-0.0540167,0,32.097,999.9,54.5,44,48.9347,65.4557,19.0104,1,1.3314,9.28105,19.9847,5.22583,11.992,4.968,3.28918,9999,9999,9999,999.9,4.97264,1.87819,1.87636,1.87912,1.87562,1.87901,1.87633,1.87754,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.38,0.1761,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,49.4,49.4,2.68799,2.60376,1.39893,2.27661,1.44897,2.38159,50.2509,13.1776,18,507.234,400.161,23.7696,42.457,30.0018,41.7142,41.7062,53.8476,58.2627,0,18.8154,1302.51,19.6781,97.3598,99.272,,
175,175,1687532938,4234,2023-06-23 11:08:57,11:08:57,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001823456,1.823456159,28.52083783,1232.286054,575.075723,58.67805805,125.7367504,0.074133069,3.770169362,0.073332682,0.045904118,614.3994047,32.4936094,31.20790357,4.565133779,49.51170576,2.110972744,4.26358315,2.454161035,-80.41441663,-242.9136096,-14.41297399,276.6584046,66.53478026,1.594669966,28.52083783,1320.143036,1283.373939,3.429752665,65.23340909,1.823456159,19.69374934,20.76759818,0.008801137,101.6448244,0,0,1,0,53342,3492.314286,2864.745432,0.820300007,0.175929013,3.21,0.5,0: Broadleaf,2,TRUE,1687532930,1232.286071,1276.257143,20.68863929,19.686175,1227.924286,20.51334643,500.0664643,101.9303214,0.105037929,30.0128,31.20790357,999.9,0,0,9995.973929,0,1492.358571,-43.97111071,1258.319286,1301.886786,1.002466643,1276.257143,19.686175,2.108798571,2.0066175,18.28575,17.49654643,1999.955714,0.9800005,0.0199994,0,1.843817857,0,6678.455,17337.85,48.52657143,50.29428571,48.616,48.55535714,47.33225,1959.955714,40,0,1687532937,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-43.91847561,-1.150321254,0.144236361,0,1.025129683,-0.235276139,0.072705957,0,0,2,0/2,3.11791,2.76155,0.196939,0.202907,0.105446,0.102007,23132.3,22875.8,29401,29027.1,36432.5,34366.1,45096.1,43172.9,1.69235,1.66077,-0.0541657,0,32.1254,999.9,54.5,44,48.937,65.5557,18.6298,1,1.33311,9.28105,19.9851,5.22777,11.992,4.969,3.28955,9999,9999,9999,999.9,4.97265,1.8782,1.87635,1.87912,1.87561,1.87901,1.87632,1.87756,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.4,0.1767,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,49.5,49.5,2.71973,2.60254,1.39893,2.27661,1.44897,2.43408,50.2832,13.1689,18,507.46,400.257,23.7878,42.4789,30.0018,41.7317,41.7241,54.4453,58.2627,0,18.8461,1322.55,19.7042,97.3541,99.2678,,
176,176,1687532943,4239,2023-06-23 11:09:02,11:09:02,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001774211,1.774211192,28.63670519,1249.960724,571.9627394,58.35987649,127.5389958,0.07204202,3.77047656,0.071285962,0.044620994,614.4000889,32.5281801,31.23628889,4.572516183,49.5652328,2.116255111,4.269636176,2.456261073,-78.24271357,-243.6817786,-14.461167,278.0144297,66.3891211,1.651748051,28.63670519,1336.781568,1300.278485,3.364950735,65.23340909,1.774211192,19.65364004,20.76862909,3.50E-05,101.6448244,0,0,1,0,53357,3492.318148,2864.748603,0.820300007,0.175929014,3.21,0.5,0: Broadleaf,2,TRUE,1687532935,1249.960741,1293.903704,20.7406037,19.70227778,1245.571481,20.56435556,500.0493704,101.9295556,0.104847148,30.0375037,31.23628889,999.9,0,0,9997.242963,0,1492.367037,-43.94387778,1276.435185,1319.908889,1.038331593,1293.903704,19.70227778,2.11407963,2.008244815,18.32566296,17.50944815,1999.951111,0.980000444,0.019999456,0,1.843455556,0,6678.459259,17337.80741,48.54822222,50.312,48.64337037,48.569,47.354,1959.951111,40,0,1687532942,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-43.91803902,0.382110105,0.179735735,0,1.029024073,0.428893965,0.076738417,0,0,2,0/2,3.11802,2.76188,0.198525,0.204428,0.105448,0.102035,23085,22830.7,29399.5,29025.8,36431.2,34363.7,45094.4,43171,1.69223,1.6614,-0.0535138,0,32.1505,999.9,54.5,44,48.937,65.5957,18.4776,1,1.33508,9.28105,19.985,5.22852,11.992,4.9691,3.28965,9999,9999,9999,999.9,4.97266,1.87818,1.87636,1.87912,1.87561,1.879,1.8763,1.87753,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.43,0.1768,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,49.6,49.6,2.7478,2.59766,1.39893,2.27661,1.44897,2.55127,50.3155,13.1776,18,507.5,400.742,23.8053,42.5008,30.0019,41.7525,41.7424,55.0007,58.2627,0,18.847,1335.91,19.7371,97.3499,99.2633,,
177,177,1687532948,4244,2023-06-23 11:09:07,11:09:07,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001755225,1.755225453,28.24749362,1265.681769,587.7362173,59.96915921,129.1427502,0.071137312,3.77029713,0.070399984,0.044065599,614.7981042,32.55580769,31.26118571,4.578999863,49.55708227,2.118558161,4.274985662,2.460441702,-77.40544249,-244.2982311,-14.50178565,278.592645,66.14322704,1.730751264,28.24749362,1353.896,1317.284,3.433972497,65.23340909,1.755225453,19.66556926,20.76882,1.69E-05,101.6448244,0,0,1,0,53340,3494.580714,2866.604567,0.820300002,0.175929004,3.21,0.5,0: Broadleaf,2,TRUE,1687532940,1265.681786,1309.549643,20.76322857,19.67521786,1261.267143,20.586575,500.0278929,101.9291429,0.104996679,30.05931071,31.26118571,999.9,0,0,9996.586071,0,1494.594286,-43.86977857,1292.517857,1335.833214,1.088019429,1309.549643,19.67521786,2.116378214,2.005478929,18.343,17.48764286,1999.986429,0.980000929,0.019998971,0,1.878121429,0,6679.131429,17338.12143,48.55978571,50.33225,48.66264286,48.589,47.3705,1959.986429,40,0,1687532947,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-43.92193659,1.019349826,0.185338097,0,1.040172805,0.723392111,0.079545387,0,0,2,0/2,3.11806,2.76166,0.200113,0.206026,0.105447,0.102077,23037.8,22783.6,29398.2,29024.8,36430,34361,45092.6,43169.4,1.6921,1.66065,-0.0533462,0,32.1733,999.9,54.5,44,48.9341,65.6357,18.6579,1,1.33682,9.28105,19.9848,5.22732,11.992,4.9689,3.28943,9999,9999,9999,999.9,4.97266,1.87819,1.87637,1.87912,1.87561,1.87905,1.87634,1.87757,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.45,0.1768,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,49.6,49.7,2.77466,2.59521,1.39893,2.27661,1.44897,2.55737,50.3155,13.1864,18,507.519,400.367,23.8246,42.5183,30.0018,41.7695,41.7594,55.5973,58.2627,0,18.8475,1355.98,19.7643,97.3458,99.2597,,
178,178,1687532953,4249,2023-06-23 11:09:12,11:09:12,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001760843,1.760843259,29.05240101,1283.224057,586.7289627,59.86578636,130.9313535,0.071154,3.772212502,0.070416699,0.044076044,615.5016981,32.58241824,31.2913963,4.586878114,49.5008149,2.11928042,4.281304104,2.467597694,-77.65318771,-245.3342913,-14.55991536,277.9543037,66.12512461,1.756179383,29.05240101,1371.031247,1334.137576,3.388093189,65.23340909,1.760843259,19.67822271,20.78202424,0.000372091,101.6448244,0,0,1,0,53374,3498.58,2869.885183,0.820300003,0.175929005,3.21,0.5,0: Broadleaf,2,TRUE,1687532945,1283.224074,1327.118889,20.77051481,19.66657407,1278.782593,20.59371111,500.0490741,101.9282222,0.104897259,30.08503704,31.2913963,999.9,0,0,10004.12185,0,1498.597037,-43.89682963,1310.441852,1353.743704,1.103941481,1327.118889,19.66657407,2.117101481,2.004580741,18.34844444,17.48056296,1999.982963,0.980001222,0.019998681,0,1.901351852,0,6678.971481,17338.08519,48.57133333,50.354,48.6847037,48.611,47.38418519,1959.982963,40,0,1687532952,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-43.92363415,-0.286114286,0.194795563,0,1.08868178,0.201606,0.037748213,0,0,2,0/2,3.11778,2.76126,0.201679,0.207615,0.10549,0.102107,22991.6,22736.1,29397.2,29022.8,36427.4,34357.8,45091.3,43166.7,1.6918,1.66013,-0.0536069,0,32.197,999.9,54.5,44,48.9395,65.4357,18.9944,1,1.3386,9.28105,19.9847,5.22777,11.992,4.9688,3.2895,9999,9999,9999,999.9,4.97268,1.8782,1.87637,1.87912,1.87561,1.87906,1.87635,1.87757,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.48,0.177,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,49.7,49.8,2.80396,2.59521,1.39893,2.27661,1.44897,2.45361,50.3479,13.1689,18,507.454,400.155,23.8399,42.5402,30.0018,41.7908,41.7806,56.1367,57.9863,0,18.8572,1369.66,19.7859,97.3428,99.2532,,
179,179,1687532958,4254,2023-06-23 11:09:17,11:09:17,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001717798,1.71779821,28.77036242,1298.902483,590.1324562,60.21295586,132.5308531,0.06920826,3.771638608,0.068510413,0.04288112,615.9164313,32.61540839,31.31866071,4.593998201,49.45165781,2.119841323,4.286694151,2.474156878,-75.75490108,-246.383661,-14.62797107,279.1498981,66.58851325,1.73331904,28.77036242,1388.922904,1351.544242,3.514759856,65.23340909,1.71779821,19.70692552,20.78657697,2.67E-05,101.6448244,0,0,1,0,53460,3500.9375,2871.81903,0.8203,0.175928999,3.21,0.5,0: Broadleaf,2,TRUE,1687532950,1298.9025,1343.096429,20.77604643,19.68640714,1294.4375,20.59914643,500.01475,101.9281786,0.104772214,30.10695714,31.31866071,999.9,0,0,10001.895,0,1500.935357,-44.19524643,1326.460357,1370.07,1.089636786,1343.096429,19.68640714,2.117663214,2.006599643,18.35266786,17.49650357,2000.002143,0.980001786,0.019998118,0,1.911621429,0,6677.546071,17338.25714,48.59125,50.37275,48.687,48.63160714,47.40378571,1960.002143,40,0,1687532957,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-44.0749125,-3.220672795,0.388366307,0,1.09837925,-0.139039137,0.017370145,0,0,2,0/2,3.11797,2.76148,0.20328,0.209191,0.105502,0.102478,22943.3,22689.5,29395,29021.7,36424.7,34342.5,45088.4,43164.8,1.69177,1.65963,-0.0527687,0,32.2212,999.9,54.5,44,48.937,65.0557,18.5537,1,1.34046,9.28105,19.9844,5.22717,11.992,4.96855,3.2892,9999,9999,9999,999.9,4.97269,1.8782,1.87637,1.87913,1.87562,1.87909,1.87636,1.87759,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.5,0.1771,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,49.8,49.8,2.83325,2.60864,1.39893,2.27661,1.44897,2.39624,50.3802,13.1514,18,507.535,399.935,23.8537,42.5616,30.0018,41.8079,41.7975,56.7155,57.9863,0,18.8606,1389.71,19.9368,97.3362,99.2491,,
180,180,1687532963,4259,2023-06-23 11:09:22,11:09:22,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.00168692,1.686919757,28.63728932,1316.634057,596.4044381,60.85206586,134.3382061,0.067776613,3.772729448,0.067107379,0.042001689,615.9841907,32.64417871,31.34699259,4.601407251,49.41549221,2.121070667,4.292319214,2.480336584,-74.39316129,-247.5698555,-14.69786165,279.3233123,66.82725004,1.669688974,28.63728932,1405.639838,1368.761636,3.436647785,65.23340909,1.686919757,19.81685755,20.81962727,0.007013468,101.6448244,0,0,1,0,53439,3501.322593,2872.134927,0.820300001,0.175929002,3.21,0.5,0: Broadleaf,2,TRUE,1687532955,1316.634074,1360.946296,20.78838148,19.73877778,1312.143704,20.61124815,500.0251111,101.927037,0.104507296,30.12980741,31.34699259,999.9,0,0,10006.24815,0,1501.330741,-44.31168148,1344.587037,1388.352222,1.04959437,1360.946296,19.73877778,2.118897407,2.011915185,18.36195556,17.53836296,1999.991852,0.980001889,0.019998015,0,1.882840741,0,6674.848148,17338.16296,48.61333333,50.39566667,48.69633333,48.65025926,47.42551852,1959.991852,40,0,1687532962,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-44.13081463,-2.511129617,0.369005395,0,1.071693244,-0.390761812,0.045688936,0,0,2,0/2,3.118,2.76151,0.204843,0.21075,0.105618,0.102749,22896.7,22643.5,29393.4,29020.6,36418.2,34331.5,45085.9,43163.6,1.69153,1.65955,-0.0533462,0,32.244,999.9,54.5,44.1,49.1935,65.3657,18.4696,1,1.34224,9.28105,19.9847,5.22837,11.992,4.96905,3.2895,9999,9999,9999,999.9,4.97268,1.87819,1.87636,1.87912,1.87561,1.87904,1.87633,1.87756,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.53,0.1778,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,49.9,49.9,2.85767,2.59155,1.39893,2.27661,1.44897,2.56104,50.4126,13.1776,18,507.492,399.995,23.8714,42.5797,30.0018,41.8276,41.8174,57.2326,57.6985,0,18.8854,1403.09,19.9677,97.3308,99.2459,,
181,181,1687532968,4264,2023-06-23 11:09:27,11:09:27,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001607858,1.607858282,28.4792035,1332.55284,581.5852434,59.3399081,135.9621207,0.064475778,3.771168871,0.06386958,0.039972477,615.7913433,32.67917155,31.36890357,4.60714431,49.4146362,2.123315791,4.296937009,2.483828519,-70.90655025,-248.1123437,-14.73912272,282.0333266,66.89512116,1.577469813,28.4792035,1423.115728,1386.140485,3.473834564,65.23340909,1.607858282,19.93807113,20.86861455,0.009762182,101.6448244,0,0,1,0,53234,3500.226429,2871.235743,0.820300001,0.175929002,3.21,0.5,0: Broadleaf,2,TRUE,1687532960,1332.552857,1376.851786,20.81043214,19.81871071,1328.037143,20.6329,499.9691071,101.9266429,0.10467375,30.14854643,31.36890357,999.9,0,0,10000.21964,0,1500.234286,-44.29709286,1360.875,1404.692143,0.991718571,1376.851786,19.81871071,2.121136429,2.020053214,18.37879643,17.60225,1999.992143,0.980002,0.0199979,0,1.8728,0,6672.31,17338.175,48.62942857,50.41485714,48.71625,48.66928571,47.446,1959.992143,40,0,1687532967,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-44.23877805,0.368034146,0.316924195,0,1.019559805,-0.721658216,0.074083342,0,0,2,0/2,3.1176,2.7617,0.206414,0.212225,0.1058,0.103142,22849.6,22599.8,29391.7,29019.3,36409.1,34315.2,45083.4,43161.6,1.6906,1.65965,-0.0532344,0,32.2668,999.9,54.5,44.1,49.1933,65.6757,19.0104,1,1.34404,9.28105,19.9847,5.22687,11.992,4.9683,3.28932,9999,9999,9999,999.9,4.97267,1.8782,1.87637,1.87912,1.87562,1.87902,1.87635,1.87759,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.56,0.1787,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,50,50,2.88818,2.58667,1.39893,2.27661,1.44897,2.58789,50.4126,13.1776,18,507.022,400.154,23.8873,42.6017,30.0018,41.8463,41.8357,57.831,57.6985,0,18.9231,1423.13,19.9687,97.3254,99.2414,,
182,182,1687532973,4269,2023-06-23 11:09:32,11:09:32,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.001645751,1.645750503,28.83162549,1350.375538,605.8239909,61.81255326,137.779555,0.065960634,3.771370814,0.065326375,0.040885462,615.598477,32.69141168,31.39101852,4.61294109,49.45028909,2.127415887,4.302130334,2.485525202,-72.57759719,-248.3414311,-14.75508672,279.924362,66.60453789,1.494085178,28.83162549,1440.035297,1403.148,3.413550495,65.23340909,1.645750503,19.98015526,20.92305939,0.011146823,101.6448244,0,0,1,0,53307,3499.131111,2870.337167,0.820299976,0.175928954,3.21,0.5,0: Broadleaf,2,TRUE,1687532965,1350.375556,1394.432222,20.85077407,19.91154444,1345.832222,20.6725,499.9855926,101.9256296,0.104917519,30.1696,31.39101852,999.9,0,0,10001.10407,0,1499.139259,-44.05457407,1379.133704,1422.761852,0.939225481,1394.432222,19.91154444,2.125227407,2.029495556,18.40951111,17.67627037,1999.991852,0.980002222,0.019997678,0,1.9015,0,6669.719259,17338.17407,48.65025926,50.437,48.74292593,48.68240741,47.46733333,1959.994815,39.99666667,0,1687532972,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-44.2021975,2.582212008,0.381378036,0,0.977526725,-0.652762795,0.06827444,0,0,2,0/2,3.11802,2.76168,0.207943,0.213812,0.105981,0.103202,22803.8,22553.1,29390,29018.4,36400,34311.9,45081,43160.1,1.69107,1.65898,-0.053905,0,32.2902,999.9,54.5,44.1,49.1882,65.3857,18.6178,1,1.34583,9.28105,19.9849,5.22717,11.992,4.9686,3.28943,9999,9999,9999,999.9,4.97267,1.8782,1.87637,1.87912,1.87564,1.87908,1.87637,1.87759,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.59,0.1797,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,50.1,50.1,2.91504,2.59033,1.39893,2.27661,1.44897,2.44995,50.4451,13.1689,18,507.418,399.831,23.9048,42.6237,30.0018,41.864,41.8535,58.3626,57.6985,0,18.9644,1436.5,19.9627,97.3199,99.2381,,
