,obs,time..2,elapsed,date,hhmmss..5,averaging,machine,id,id_updated_mk,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,?Vc,Edyn,Hr,Hs,dHs/dt,?Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,,
217,217,1686160379,8177,2023-06-07 13:52:59,13:52:59,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160371,0.011479698,11.47969816,30.97527779,379.1237367,280.1428892,25.4516025,34.44423191,0.620713311,2.797786494,0.553147169,0.351172672,375.4860373,27.72308118,27.87026452,3.766233317,49.57681937,1.939950094,3.913018459,1.826283223,-506.254689,99.07037837,7.733928221,-23.96434511,30.97004139,11.47631238,30.97527779,423.5586131,387.3888909,-0.000394926,65.1494733,11.47969816,8.345446321,21.35514,2.45E-06,102.7714009,12,2,1,0,47861,2134.304323,1750.769842,0.820300003,0.175929006,5.79,0.5,0: Broadleaf,2,TRUE,1686160371,379.1237742,420.0258065,21.35280968,8.346903871,376.1003226,21.11251935,499.9959355,90.74626129,0.105955484,28.52708065,27.87026452,999.9,0,0,10002.98871,0,134.2930323,-40.90204516,387.3957419,423.5612581,13.00590645,420.0258065,8.346903871,1.937688387,0.757450452,16.94413871,2.933944194,2000.01129,0.980001516,0.019998758,0,2.005274194,0,13543.50968,17338.30645,43.187,44.254,43.187,42.391,42.31606452,1960.011935,40.00064516,0,1686160444,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-40.90526098,-0.030562369,0.065064275,1,13.0032,0.063290592,0.006581126,1,2,2,2/2,3.13518,2.73402,0.0782368,0.085509,0.0978492,0.0494321,27214.3,26801.8,30078.2,29585.5,37492.6,37039,46055,43991.5,1.76877,1.6587,-0.0952743,0,29.4487,999.9,38.5,44,38.8295,63.5583,20.645,1,0.488199,1.84442,20.224,5.22942,11.974,4.97,3.2901,9999,9999,9999,999.9,4.97283,1.87775,1.87592,1.87867,1.8753,1.87881,1.87599,1.8772,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.023,0.2403,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43196.4,43196.5,1.10229,2.61353,1.39893,2.3291,1.44897,2.54517,46.1818,13.5892,18,471.991,375.036,25.3192,33.4052,29.9991,32.7327,32.7416,22.1669,71.1303,0,25.3984,426.686,8.48001,99.4921,101.161,,
218,218,1686160384,8182,2023-06-07 13:53:04,13:53:04,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160376,0.011481716,11.48171573,30.9499722,379.1194452,280.0820844,25.44589043,34.44358778,0.619839639,2.79735103,0.552443271,0.35071971,375.5187863,27.74575217,27.88279655,3.768988367,49.51416192,1.940100934,3.918274811,1.828887432,-506.3436635,100.6516404,7.859988247,-22.31324851,31.12337348,11.47815431,30.9499722,423.7958314,387.4731758,0.038771503,65.1494733,11.48171573,8.342422518,21.35374485,-1.08E-05,102.7714009,12,2,1,0,47708,2134.491276,1750.923127,0.820299969,0.175928939,5.79,0.5,0: Broadleaf,2,TRUE,1686160376,379.1194828,420.1973793,21.35462759,8.347433448,376.0961034,21.11429655,500.0257241,90.74584138,0.105704793,28.5502,27.88279655,999.9,0,0,10000.51379,0,134.4716207,-41.07794138,387.3921034,423.7345862,13.00720345,420.1973793,8.347433448,1.937844828,0.757494966,16.94541034,2.93477,2000.019655,0.98000369,0.019996559,0,1.964551724,0,13556.51034,17338.3931,43.18486207,44.24348276,43.187,42.36413793,42.30558621,1960.023448,39.9962069,0,1686160449,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-40.9773122,-1.3045777,0.242740752,0,13.00590732,0.033160976,0.005535182,1,1,2,1/2,3.13519,2.73328,0.0782645,0.085923,0.0978529,0.0496496,27214.2,26790,30079,29585.8,37493.4,37031,46056.2,43992.1,1.7683,1.65933,-0.0932105,0,29.4157,999.9,38.5,44,38.8341,63.9583,20.5489,1,0.487879,1.86607,20.2232,5.22747,11.974,4.9694,3.2895,9999,9999,9999,999.9,4.97283,1.87777,1.87594,1.87867,1.87531,1.8788,1.87601,1.87717,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.024,0.2403,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43196.4,43196.5,1.12915,2.61475,1.39893,2.3291,1.44897,2.51587,46.1527,13.5804,18,471.725,375.387,25.4039,33.3983,29.9995,32.7324,32.7416,22.6849,70.858,0,25.471,440.049,8.51099,99.4947,101.162,,
219,219,1686160389,8187,2023-06-07 13:53:09,13:53:09,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160381,0.011456946,11.45694614,31.66062786,379.6066044,278.243584,25.27858557,34.4874728,0.617528564,2.796699372,0.550591082,0.349526926,375.5155452,27.77425724,27.89555714,3.771795469,49.46813711,1.940771089,3.923275066,1.83102438,-505.2513246,102.0164247,7.96980033,-19.7495544,33.1272398,11.44837612,31.66062786,432.1436081,390.8214485,0.922858482,65.1494733,11.45694614,8.483211417,21.39837818,0.009117095,102.7714009,12,2,1,0,47733,2134.473893,1750.908773,0.820299924,0.175928854,5.79,0.5,0: Broadleaf,2,TRUE,1686160381,379.6066429,422.9995357,21.36223571,8.388512857,376.5820357,21.12175,500.0112857,90.74527857,0.105281964,28.57216786,27.89555714,999.9,0,0,9996.803571,0,134.4685357,-43.39290714,387.8928214,426.5781429,12.97372857,422.9995357,8.388512857,1.938522143,0.761218,16.95092143,3.003601429,2000.005357,0.980006679,0.019993532,0,2.010639286,0,13565.34286,17338.28571,43.16485714,44.223,43.18035714,42.3435,42.28542857,1960.015357,39.99,0,1686160455,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-42.7084125,-25.32361238,3.161765148,0,12.9820525,-0.362470919,0.046304946,0,0,2,0/2,3.13528,2.73305,0.078882,0.0879246,0.0980112,0.050199,27195.9,26731.6,30078.9,29586.1,37486.9,37010,46056.3,43992.5,1.7685,1.6592,-0.0904091,0,29.3835,999.9,38.4,44,38.7278,63.7883,20.4207,1,0.487129,1.82849,20.2231,5.22508,11.974,4.96855,3.28898,9999,9999,9999,999.9,4.97284,1.87777,1.87593,1.87867,1.87531,1.87881,1.87602,1.87718,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.034,0.2413,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43196.5,43196.6,1.16333,2.63428,1.39893,2.3291,1.44897,2.43164,46.1818,13.5717,18,471.819,375.316,25.4722,33.3918,29.9993,32.7297,32.7416,23.305,70.858,0,25.5385,460.09,8.60534,99.4948,101.163,,
220,220,1686160394,8192,2023-06-07 13:53:14,13:53:14,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160387,0.011477829,11.47782878,32.16022907,382.4276646,279.7369038,25.41401179,34.74343587,0.618815587,2.796173387,0.55160383,0.35018082,375.5377309,27.79071237,27.90505185,3.773885318,49.46025919,1.942953928,3.928313276,1.83093139,-506.1722491,103.8989472,8.11967305,-18.61589798,37.58000245,11.41872691,32.16022907,447.5406106,400.1987394,2.076129905,65.1494733,11.47782878,8.515986931,21.44838121,0.009856642,102.7714009,12,2,1,0,47669,2134.600037,1751.012245,0.820299923,0.175928851,5.79,0.5,0: Broadleaf,2,TRUE,1686160387,382.4277037,431,21.38646667,8.446942963,379.3953704,21.14551111,500.0220741,90.74475185,0.104941,28.59427778,27.90505185,999.9,0,0,9993.817407,0,134.5837407,-48.57226667,390.7852963,434.6721111,12.93954074,431,8.446942963,1.94071037,0.766515778,16.9687037,3.10140037,2000.016296,0.980006556,0.019993659,0,1.976225926,0,13571.34815,17338.4037,43.14337037,44.201,43.15944444,42.32133333,42.26377778,1960.026296,39.99,0,1686160459,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-45.585595,-54.14051482,5.745861762,0,12.9630375,-0.476272795,0.052790017,0,0,2,0/2,3.13514,2.73362,0.0804076,0.0902895,0.098162,0.0502177,27150.9,26663.3,30078.9,29587.1,37480.3,37010.7,46055.8,43993.9,1.76865,1.65958,-0.0876412,0,29.3474,999.9,38.4,44,38.7287,64.1583,20.653,1,0.486242,1.81561,20.2235,5.22747,11.974,4.9691,3.2895,9999,9999,9999,999.9,4.97283,1.87779,1.87592,1.87867,1.87531,1.8788,1.87601,1.87719,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.06,0.2422,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43196.6,43196.7,1.19385,2.63062,1.39893,2.3291,1.44897,2.43286,46.1818,13.5629,18,471.903,375.527,25.5408,33.3826,29.9993,32.7297,32.7416,23.9797,70.858,0,25.5973,473.451,8.62361,99.4941,101.167,,
221,221,1686160399,8197,2023-06-07 13:53:19,13:53:19,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160391,0.011469514,11.46951424,32.98727226,388.5944958,283.4055737,25.74723977,35.30359522,0.618913044,2.796682706,0.551692167,0.350236781,375.5793475,27.81491526,27.91204286,3.775424732,49.48015193,1.946167129,3.933227876,1.829257603,-505.8055781,106.1120438,8.292294237,-15.82189251,42.63810443,11.40187915,32.98727226,463.0692348,412.5204727,2.550646079,65.1494733,11.46951424,8.519809957,21.47893273,0.005060203,102.7714009,12,2,1,0,47880,2134.836571,1751.206276,0.820299923,0.175928852,5.79,0.5,0: Broadleaf,2,TRUE,1686160391,388.5945357,443.1015714,21.42189286,8.501037857,385.5456071,21.18024286,499.9876071,90.74439643,0.105051,28.61582143,27.91204286,999.9,0,0,9996.804286,0,134.8258571,-54.50701071,397.1014643,446.9009286,12.92086429,443.1015714,8.501037857,1.943916786,0.771421571,16.99473929,3.191893571,2000.010714,0.980006357,0.019993864,0,1.979992857,0,13580.56429,17338.36071,43.125,44.187,43.1405,42.29207143,42.25,1960.020714,39.99,0,1686160465,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-51.30941,-77.32038799,7.533753793,0,12.9408325,-0.221753471,0.041877299,0,0,2,0/2,3.13528,2.73384,0.0823375,0.092617,0.0982564,0.0504056,27094.9,26595.6,30079.9,29587.6,37478.2,37003.9,46057.8,43994.4,1.76873,1.65947,-0.0853501,0,29.3152,999.9,38.4,44,38.7268,64.3183,20.5769,1,0.485511,1.8119,20.2233,5.22687,11.974,4.96895,3.28948,9999,9999,9999,999.9,4.97282,1.87776,1.87592,1.87866,1.87531,1.87876,1.87597,1.87715,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.093,0.2428,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43196.7,43196.8,1.22925,2.61597,1.39893,2.33032,1.44897,2.5354,46.1818,13.5892,18,471.932,375.471,25.602,33.3747,29.9992,32.7274,32.7416,24.6204,70.5747,0,25.6536,493.499,8.63873,99.4981,101.168,,
222,222,1686160404,8202,2023-06-07 13:53:24,13:53:24,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160397,0.011456827,11.45682707,33.89190801,399.3145885,291.256307,26.46038152,36.27738216,0.618906971,2.798364355,0.551723051,0.35025343,375.6680423,27.84385334,27.92052222,3.777292616,49.51300187,1.950228957,3.938821892,1.827063659,-505.2460736,108.5918112,8.482372918,-12.50384725,47.41960076,11.40544304,33.89190801,479.6481693,426.5403394,2.870314162,65.1494733,11.45682707,8.591974044,21.51323212,0.008008054,102.7714009,12,2,1,0,47656,2135.340667,1751.61979,0.820299926,0.175928857,5.79,0.5,0: Broadleaf,2,TRUE,1686160397,399.3146296,459.4967407,21.46667778,8.543498148,396.2369259,21.22414815,500.031037,90.74394444,0.105183556,28.64031481,27.92052222,999.9,0,0,10006.59037,0,135.3458519,-60.18203704,408.074963,463.4565185,12.92318148,459.4967407,8.543498148,1.947970741,0.775270704,17.02763333,3.262303333,1999.994815,0.980006,0.019994226,0,1.978681481,0,13604.73333,17338.23333,43.118,44.17322222,43.125,42.27066667,42.24766667,1960.004815,39.99,0,1686160470,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-55.7598625,-68.33455947,6.746143032,0,12.9220425,-0.007583865,0.02522232,1,1,2,1/2,3.13535,2.73351,0.0844883,0.0950207,0.0983607,0.0505814,27031.9,26525.7,30080.4,29588.2,37474.3,36997.8,46058.2,43995.1,1.7688,1.65978,-0.0831001,0,29.287,999.9,38.4,44,38.7305,64.3583,20.3566,1,0.484497,1.77238,20.2238,5.22762,11.974,4.9694,3.28965,9999,9999,9999,999.9,4.97281,1.87775,1.87593,1.87866,1.8753,1.87879,1.876,1.87714,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.129,0.2435,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43196.8,43196.9,1.26221,2.61841,1.39893,2.33032,1.44897,2.50732,46.1818,13.5717,18,471.964,375.622,25.6537,33.3654,29.9992,32.7258,32.7387,25.344,70.5747,0,25.7046,506.893,8.65175,99.4993,101.17,,
223,223,1686160409,8207,2023-06-07 13:53:29,13:53:29,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160401,0.011399898,11.3998981,34.73733817,411.4394937,300.1594548,27.2691857,37.37886572,0.615702905,2.798466703,0.549175042,0.348610733,375.750758,27.8830179,27.92818571,3.778981468,49.50672744,1.952606482,3.944123521,1.826374987,-502.7355063,110.9375552,8.666619306,-7.380573777,49.95457757,11.40562733,34.73733817,496.3800563,441.5426424,3.027338277,65.1494733,11.3998981,8.599311726,21.51752364,-0.000192872,102.7714009,12,2,1,0,47803,2135.810786,1752.005433,0.820299928,0.175928861,5.79,0.5,0: Broadleaf,2,TRUE,1686160401,411.4395357,474.7198929,21.49287857,8.569283214,408.3294643,21.24982857,500.0096429,90.74381071,0.10518725,28.6635,27.92818571,999.9,0,0,10007.19786,0,135.8293571,-63.28039286,420.4770714,478.8234286,12.92358571,474.7198929,8.569283214,1.950344286,0.777609393,17.04686071,3.304907143,1999.981429,0.980005607,0.019994632,0,2.025064286,0,13644.525,17338.11071,43.098,44.15821429,43.11825,42.24096429,42.2275,1959.991429,39.99,0,1686160474,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-61.44755,-40.43060263,3.959640437,0,12.9208325,-0.012975985,0.013306547,1,1,2,1/2,3.13525,2.73335,0.0867422,0.0974443,0.0983808,0.0505907,26966.1,26455.3,30081.2,29588.9,37474.5,36998.5,46059.3,43996.2,1.76877,1.66005,-0.0810325,0,29.2661,999.9,38.4,44,38.7331,64.0383,20.5048,1,0.483534,1.74782,20.224,5.22687,11.974,4.9692,3.28943,9999,9999,9999,999.9,4.97281,1.87775,1.87593,1.87867,1.87531,1.8788,1.87601,1.87715,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.169,0.2435,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43196.9,43197,1.29639,2.60986,1.39893,2.33032,1.44897,2.52563,46.1818,13.5804,18,471.934,375.765,25.705,33.3557,29.9991,32.723,32.7365,25.9834,70.5747,0,25.7464,526.928,8.75645,99.5016,101.172,,
224,224,1686160414,8212,2023-06-07 13:53:34,13:53:34,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160407,0.011413444,11.41344443,35.71265833,426.3238085,311.859767,28.33198354,38.7308669,0.61608845,2.797883149,0.549469766,0.348801828,375.8288989,27.90637148,27.94218519,3.782068322,49.47980378,1.954567206,3.95023233,1.827501116,-503.3328994,112.8273696,8.817879119,-5.858751795,52.02907418,11.40099424,35.71265833,513.2968325,457.0068182,3.094783386,65.1494733,11.41344443,8.599094191,21.52712909,0.000403818,102.7714009,12,2,1,0,47679,2136.254889,1752.369736,0.82029993,0.175928865,5.79,0.5,0: Broadleaf,2,TRUE,1686160407,426.3238519,492.1958148,21.51458519,8.597489259,423.1744815,21.27111111,500.0469259,90.74344444,0.105028296,28.69018148,27.94218519,999.9,0,0,10003.85889,0,136.2900741,-65.87205185,435.6978889,496.4641852,12.91708148,492.1958148,8.597489259,1.952305926,0.780165778,17.06273704,3.351442222,1999.964815,0.980005111,0.019995141,0,1.981862963,0,13702.68148,17337.95556,43.076,44.13648148,43.10166667,42.21733333,42.20566667,1959.974815,39.99,0,1686160479,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-63.912985,-30.82126379,2.996711844,0,12.9242575,-0.055086304,0.010958533,1,1,2,1/2,3.13532,2.73334,0.0890146,0.0997845,0.0984067,0.0507764,26899.7,26387.2,30081.9,29589.3,37474.3,36992,46060.2,43996.9,1.76903,1.66045,-0.0782199,0,29.2488,999.9,38.4,44,38.7314,64.0183,20.3405,1,0.482614,1.74086,20.2242,5.22792,11.974,4.96925,3.28968,9999,9999,9999,999.9,4.97283,1.87775,1.87592,1.87866,1.87531,1.8788,1.87602,1.87716,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.208,0.2437,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43196.9,43197,1.33057,2.60986,1.39893,2.3291,1.44897,2.53662,46.1818,13.5717,18,472.055,375.977,25.7471,33.3458,29.9992,32.72,32.7342,26.7043,70.2587,0,25.7734,540.286,8.82159,99.5038,101.174,,
225,225,1686160419,8217,2023-06-07 13:53:39,13:53:39,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160411,0.011382641,11.38264095,36.53135394,440.3412771,322.703217,29.3173084,40.00462451,0.613478388,2.797413561,0.54738083,0.347456297,375.8978389,27.94034024,27.95680714,3.785294781,49.43849828,1.955803117,3.956032616,1.829491664,-501.9744657,114.4189328,8.945544805,-2.712149272,53.3840274,11.37909587,36.53135394,530.3155922,472.7313333,3.166018307,65.1494733,11.38264095,8.712912305,21.56051879,0.006530306,102.7714009,12,2,1,0,47721,2136.646821,1752.691232,0.820299927,0.17592886,5.79,0.5,0: Broadleaf,2,TRUE,1686160411,440.3413214,507.9583571,21.52803214,8.635484643,437.1555714,21.28428929,500.0298929,90.74415714,0.104978714,28.71548214,27.95680714,999.9,0,0,10001.06143,0,136.6621786,-67.61715714,450.0298214,512.3837143,12.89254286,507.9583571,8.635484643,1.953541786,0.783619679,17.07272857,3.413765357,1999.984643,0.980005071,0.019995189,0,2.026832143,0,13760.88929,17338.125,43.062,44.12939286,43.08225,42.19825,42.187,1959.994643,39.99,0,1686160485,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-66.32047561,-23.41761533,2.327851915,0,12.9021561,-0.230680139,0.033143208,0,0,2,0/2,3.13531,2.73346,0.0912962,0.102129,0.0985206,0.0512186,26833.2,26318.9,30082.8,29589.9,37471,36975.6,46061.8,43997.6,1.76925,1.66037,-0.0770576,0,29.2331,999.9,38.4,44,38.7282,63.9083,20.4848,1,0.481654,1.77373,20.2239,5.22792,11.974,4.9692,3.28965,9999,9999,9999,999.9,4.9728,1.87775,1.87592,1.87866,1.87527,1.87875,1.87597,1.87714,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.246,0.2444,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43197,43197.1,1.36475,2.61841,1.39893,2.33032,1.44897,2.39502,46.2108,13.5717,18,472.164,375.923,25.7796,33.3358,29.9991,32.7172,32.7322,27.3389,69.9816,0,25.7919,560.319,8.85112,99.5071,101.175,,
226,226,1686160424,8222,2023-06-07 13:53:44,13:53:44,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160417,0.011387123,11.38712265,37.42330695,456.427473,335.66405,30.49482082,41.46608493,0.613079559,2.795878127,0.547030893,0.347233687,375.9647834,27.96696765,27.97477778,3.789263443,49.41282866,1.957942249,3.962416851,1.831321194,-502.1721087,115.8392998,9.063631738,-1.30439379,54.6471685,11.35166679,37.42330695,547.2662636,488.5861455,3.177764508,65.1494733,11.38712265,8.752704163,21.59725515,0.007490603,102.7714009,12,2,1,0,47630,2137.027407,1753.003421,0.820299925,0.175928854,5.79,0.5,0: Broadleaf,2,TRUE,1686160417,456.4275185,525.7018519,21.55155556,8.690912593,453.2005556,21.30735926,500.050037,90.74419259,0.105038407,28.74329259,27.97477778,999.9,0,0,9992.17037,0,137.0240741,-69.27440741,466.4812963,530.3117407,12.86064815,525.7018519,8.690912593,1.955678519,0.788649852,17.08997778,3.504251111,2000.003333,0.980005,0.019995263,0,2.037296296,0,13827.9963,17338.28148,43.05511111,44.10633333,43.06666667,42.187,42.1847037,1960.013333,39.99,0,1686160489,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-68.12829756,-19.25634983,1.906542655,0,12.87964878,-0.393936585,0.044306186,0,0,2,0/2,3.13527,2.73313,0.0935587,0.104439,0.098631,0.0515616,26766.9,26251.9,30083.3,29590.5,37467.2,36963.4,46062.6,43998.8,1.76903,1.66087,-0.0744872,0,29.2181,999.9,38.3,44,38.6303,64.1583,20.5529,1,0.480856,1.8053,20.2238,5.22777,11.974,4.96955,3.28965,9999,9999,9999,999.9,4.97281,1.87775,1.87592,1.87866,1.87525,1.87872,1.87595,1.87714,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.286,0.2451,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43197.1,43197.2,1.39771,2.61475,1.39893,2.33032,1.44897,2.4292,46.1818,13.5629,18,472.016,376.186,25.7983,33.3242,29.9993,32.7135,32.7291,28.0438,69.9816,0,25.7974,573.677,8.87189,99.5088,101.178,,
227,227,1686160429,8227,2023-06-07 13:53:49,13:53:49,5,albert,lubb_27_npk_soel_02,lubb_27_soel_2_39,1686160421,0.011321346,11.32134649,38.18499732,470.9967037,346.8858895,31.51443432,42.78984857,0.608677035,2.795979145,0.543521821,0.344972061,376.0257251,28.01086446,27.99097857,3.792844362,49.40143286,1.960402339,3.968310686,1.832442022,-499.2713802,117.2662534,9.176860843,3.197459142,55.59439129,11.30819787,38.18499732,564.2845203,504.6256667,3.195043339,65.1494733,11.32134649,8.849877016,21.62791576,0.006518166,102.7714009,12,2,1,0,47750,2137.373786,1753.287557,0.820299925,0.175928856,5.79,0.5,0: Broadleaf,2,TRUE,1686160421,470.99675,541.5421429,21.57855357,8.766331786,467.7330714,21.33382857,500.004,90.74453571,0.1050355,28.76893214,27.99097857,999.9,0,0,9992.717143,0,137.3766429,-70.54541071,481.3848571,546.3325,12.812225,541.5421429,8.766331786,1.958135714,0.795496607,17.1098,3.626843571,1999.997143,0.980004643,0.019995632,0,2.108385714,0,13886.33571,17338.22143,43.03542857,44.08675,43.05535714,42.16707143,42.16485714,1960.007143,39.99,0,1686160495,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-69.5796275,-16.63049493,1.602834226,0,12.8463525,-0.566907692,0.056979123,0,0,2,0/2,3.13513,2.73321,0.0958046,0.10669,0.0987339,0.051757,26701.2,26186.7,30084.1,29591.4,37463.9,36957,46063.6,44000.1,1.76895,1.66125,-0.0725873,0,29.2078,999.9,38.4,44,38.7281,64.0483,20.645,1,0.479842,1.84803,20.2228,5.22613,11.974,4.96885,3.28927,9999,9999,9999,999.9,4.97282,1.87775,1.87592,1.87866,1.87528,1.87872,1.87594,1.87715,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.324,0.2458,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43197.2,43197.3,1.43188,2.62329,1.39893,2.33032,1.44897,2.47437,46.2108,13.5717,18,471.953,376.377,25.8054,33.3142,29.9992,32.7099,32.7257,28.6753,69.9816,0,23.9628,593.712,8.99316,99.5111,101.181,,
